Country,CountryCode,Region,AdolescentFertility,Agriculture,CO2,Electric,Energy,Exports,Fertility,Forest,GDP,GDPGrowth,TechExports,Immunization,Imports,Industry,Internet,LifeExpectancy,Military,Mobile,Mortality,StatisticalCapacity,PopulationDensity,PopulationGrowth,Population,HIV,SecondarySchool,SurfaceArea,TaxRevenue,PopulationGrowthUrban,AgeDependency,Agricultural,AirPassengers,AirDepartures,ArmedForces,ATM,BirthRate,Cereal,ComputerExports,ComputerImports,DeathRate,Broadband,BroadbandPer100,Telephone,GDPperCapita,Hospital,TechExportsUSD,Household,HouseholdAdj,ICTServiceExports,ICTServiceExportsUSD,ICTGoodsImports,ICTGoodsExports,Unemployment,Nurses,PopulationChildren,PopulationAdult,PopulationElderly,Renewable,SecureInternetTotal,SecureInternet
Croatia,HRV,Europe,12.9058,4.668419045,4.801530011,3900.601361,1971.411631,40.40536762,1.48,19234,62236755927,-0.281367268,7.556706881,96,40.86780301,27.02243907,57.78997899,76.77560976,1.77782054,118.3013547,5,86.66666667,76.49431737,,4280622,,97.96422,56590,18.46800566,-2.697859165,48.99033617,13261,1812519,26743,1.152464674,109.4366122,9.6,2829295,15.27529294,46.65969551,11.9,892835,20.64920804,1848031,14539.18518,5.98,672543092,37165927506,37165927506,12.65510569,1619312803,4.214896973,1.548419138,63.79999924,5.798,15.14648342,67.11839294,17.7350502,17.21733332,990,231.2748007
Cuba,CUB,North America,43.5112,4.999046408,3.185683146,1327.85825,994.0859625,25.10344232,1.459,29046,68990140000,2.802964336,,99,21.85703638,20.52558216,16.0172908,78.89382927,3.253218503,11.66313248,6.9,,105.9381154,-0.050669789,11276053,0.2,89.9995,109880,,0.069362073,42.17028277,65700,1478595.959,18302.85837,1.421623362,,9.744,920658,,,7.534,4421,,1193415,6118.288022,5.1,,36468900000,36469340000,,,,,,,16.93421364,70.3381958,12.72760105,19.5278621,,
Cyprus,CYP,Europe,5.688801,2.395846677,6.736166081,4271.334055,2120.944405,49.53681324,1.47,1732.5,27089174646,0.261283105,27.29082761,87,52.95400873,14.95740002,56.85989235,79.47195122,1.770947834,97.70992366,3.8,,120.8347403,1.15558547,1116513,0.1,92.82562,9250,23.71510063,0.940769093,41.30155259,1185,1263117,12430,2.174840085,70.29907445,11.605,73699,26.95423085,17.07420926,6.882,212149,19.00103268,405024,31836.61951,3.5,101643077,17828173215,17828159313,24.98442293,1982092314,4.55895157,5.640873064,20.79999924,,17.44153404,70.77069092,11.78786087,7.415746861,1252,1121.348341
Czech Republic,CZE,Europe,6.1482,2.382647437,10.43108813,6298.727678,4102.784104,71.617314,1.43,26590,2.27307E+11,1.963780536,16.27967942,98,67.66813925,37.05109157,70.49,77.87317073,1.088531477,124.0943746,3.9,,135.8892802,0.206747667,10496088,0.1,96.01708,78870,13.06694245,0.111145922,43.07421571,42290,4902816,61476,0.510281067,43.76218398,10.4,7973177,39.9918746,45.83095517,10.2,2509100,23.64613374,2203900,21656.39764,6.8,23365827816,1.12095E+11,1.12095E+11,30.51087839,7605968738,15.81583935,15.32841501,41.5,8.43,14.33206749,69.89380646,15.77414131,10.23692669,4083,389.0020739
Denmark,DNK,Europe,5.2546,1.53345078,7.248328717,6167.948283,3228.693211,52.94386835,1.75,5460,3.41499E+11,1.152136945,13.76167876,87,47.39479133,23.36498571,89.81001339,79.8,1.32316718,128.661526,3.8,,131.2885223,0.411737855,5570572,0.2,122.80119,43090,32.97931062,0.598214063,53.52320111,26900,,,0.561348191,61.04194715,10.6,8809200,,,9.4,2143247,38.44225815,2481469,61304.0612,,9318396364,1.64714E+11,1.64714E+11,,,7.876788528,3.42117955,24.39999962,,17.80344009,65.13674927,17.05984879,23.95230713,12155,2182.002136
Djibouti,DJI,Africa,19.3082,,0.558725843,,,,3.53,56,1239144502,5.385134251,,84,,,7,60.80307317,,22.80161957,73.8,44.44444444,36.52484901,1.50060947,846646,1.2,39.72392,23200,,1.574645912,60.38482158,17020,,,4.499715076,3.214745055,28.124,14,5.640643974,-1.56319E-13,9.072,11302,1.334914474,18442,1463.592224,,,,,,,,,,,33.86610413,62.34967041,3.783635616,34.44418956,5,5.905655965
Dominica,DMA,North America,,14.73408893,1.74616602,,,37.58193736,,443.9,508518518.5,-0.081766149,,99,52.07574654,15.17000872,51.3135,,,152.5524853,12.1,50,95.20133333,0.328264702,71401,,96.7296,750,22.71667881,0.760616269,,260,,,,51.02012223,,140,21.21917527,21.85669904,,8307,11.63429084,14992,7122.008354,3.8,,412222222.2,412222222.2,19.56671555,30286544.44,,,,,,,,11.5508478,31,434.1675887
Dominican Republic,DOM,North America,101.4106,6.186485541,2.156995478,1380.720837,711.1630752,23.69923972,2.551,19720,58026114991,2.820884489,2.226337874,79,33.79859374,27.7215416,38,73.01304878,0.600695405,86.43207979,29.9,67.77777778,210.0082368,1.297364336,10147598,0.8,75.10193,48670,12.25208714,2.880658381,58.56518759,24470,28232.1,2286,0.867272411,29.5394535,21.547,912362,9.610899943,15.82814536,5.989,423919,4.177530486,1099790,5718.211836,1.7,90873749,43922713797,43922713800,6.565682587,382300000,3.460357698,2.071477819,,1.33,30.84340668,63.06554413,6.091047287,13.20162808,204,20.10327961
Ecuador,ECU,South America,78.32639,9.944893408,2.34333293,1213.001216,912.2469637,31.1211998,2.622,96674,79276664000,7.868140919,3.228655116,94,33.36903909,38.98218249,31.36680836,75.91660976,3.095110057,100.5655994,23.9,82.22222222,61.38863344,1.622705711,15246481,0.4,85.11725,256370,,1.933282137,58.47987008,73460.7,4714115,49193,0.817594833,40.71651235,21.461,2486692,16.61705901,12.44035615,4.941,658923,4.321803831,2210608,5199.669616,1.6,56609383,48657155000,48657155000,,,6.30959041,0.116168286,,2.157,30.6199379,63.09950638,6.280570507,13.22002068,289,18.95519366
"Egypt, Arab Rep.",EGY,Africa,44.1148,14.5170221,2.78099524,1794.893233,961.6033718,20.56742761,2.845,706,2.36002E+11,1.821844376,0.951629975,96,24.68820655,37.63125849,25.6,70.67856098,1.931587776,105.0794228,22.8,88.88888889,79.75535286,1.672454419,79392466,0.1,85.55335,1001450,14.0086354,1.628275631,58.57399887,36650,7708160.107,78726.09091,3.142709715,9.651575501,23.823,22014919,9.724915268,22.39393709,6.592,1845249,2.324211721,8714286,2972.597664,,128064020,1.7834E+11,1.7834E+11,7.044034358,1348200000,3.542542662,0.226806643,,,31.38120651,63.06204224,5.556752682,5.518388319,248,3.123722092
El Salvador,SLV,North America,77.3268,12.51350981,1.068523404,829.5714904,685.8970609,27.98003371,2.236,2826,23139000000,2.21683561,5.587844844,89,46.6632093,26.87804118,18.9,71.86870732,1.106357232,132.9256445,17,87.77777778,301.9421815,0.610001365,6256242,0.5,67.20254,21040,13.4506677,1.390931805,62.12355537,15320,2151274,24699,1.21492195,30.68681644,20.345,923938,47.40635006,23.45203225,6.516,206000,3.292711503,1029742,3698.546188,1,200590617,21580800000,21580700000,10.47237218,171324024.7,5.026148154,0.322020542,,,31.3484993,61.68134308,6.970142841,34.01885684,105,16.78323824
Equatorial Guinea,GNQ,Africa,114.6822,,9.341683473,,,90.98291703,5.044,16142,15711269412,4.995987885,,51,69.4348503,,11.5,52.08490244,,66.8802619,102.3,32.22222222,25.5257041,2.808500627,715996,,,28050,,3.098448901,72.3565591,3040,130197.6,2808,0.349725386,7.571533633,36.25,,,,13.85,1346,,14520,21943.23629,,,2061871752,2061871753,,,,,,,39.12773132,58.0191803,2.852948904,29.81514241,2,2.793311694
Eritrea,ERI,Africa,67.60699,,0.087767907,48.71181685,129.2208199,14.37634524,4.875,15276,2607739837,8.679800386,,99,23.15356945,,0.7,61.71092683,,4.077954414,53.6,32.22222222,58.74110891,3.284393542,5932852,0.7,,117600,,5.124291511,82.52699593,75920,,,7.058828469,,37.945,258135,,,7.21,141,0.002376597,58473,439.5423714,0.7,,2027246899,2026251979,,,,,,,43.05612183,54.7864151,2.157461643,80.78036574,,
Estonia,EST,Europe,18.0184,3.945196319,14.04988252,6314.414448,4237.729191,87.93023568,1.61,22100,22802057270,8.263792513,13.38765176,94,82.11085236,29.1933383,76.5,76.22926829,1.706921567,143.9260625,4.1,83.33333333,31.31490918,-0.303582824,1327439,1.2,109.37402,45230,15.55005547,-0.493242835,49.6495605,9450,614933,13492,0.823239699,87.21583489,11.1,771125,36.23517723,41.39875833,11.5,348946,26.95608645,471908,17177.4803,5.3,1539406627,11519599666,10592299138,25.04586614,1415190926,11.42619706,11.4747977,56.79999924,6.463,15.5420866,66.82258606,17.63502121,24.98354122,714,537.8778234
Ethiopia,ETH,Africa,80.6994,44.66957015,0.084380362,56.2571617,485.7114584,16.68673288,4.769,121552,31952763089,11.17829624,2.014438186,68,31.54601724,10.46583735,1.1,62.25285366,1.090707446,15.80285822,71.3,73.33333333,89.393063,2.60403808,89393063,1.4,,1104300,9.209358617,4.977630295,89.50774447,356830,4440917.691,57728,0.328286476,0.318961248,34.095,18809963,8.091907201,27.88347959,8.128,6353,0.007106815,829008,357.4411931,6.3,5201037,23144444961,23144445088,5.970369099,166324070.4,3.829287228,0.127456023,,,43.88509369,52.76829147,3.346614361,93.98468297,15,0.167798255
Fiji,FJI,Oceania,43.32621,11.78367747,1.423838114,,,61.07880107,2.641,10174,3646434943,2.705141495,3.537584773,94,67.16863496,20.10134244,28,69.56397561,1.66698115,83.76338399,23.8,70,47.50525452,0.85185186,867921,0.1,90.47167,18270,,1.593695561,51.3877309,4276,1276205.48,18142,1.031757496,36.31782608,21.196,8894,5.766754111,17.43456985,6.684,23250,2.678815238,129845,4201.344296,,4886573,,,4.176792376,48810551.85,3.669225742,0.829606744,,,28.93627357,66.05554962,5.008174896,12.22213214,32,36.8697151
Finland,FIN,Europe,9.215001,2.727422061,10.1640461,15707.26199,6463.986042,39.15954264,1.83,221570,2.73657E+11,2.570792586,9.27214927,97,40.01036222,28.89049245,88.70999491,80.47073171,1.369946513,165.8909009,2.9,,17.73099477,0.463558707,5388272,,107.47822,338420,19.82942972,0.619009285,51.7686303,22860,9508050,144467,0.9208154,36.4467059,11.1,3670300,68.33074672,55.95536289,9.4,1606000,29.80098288,1080000,50787.56498,5.5,5357724865,1.47027E+11,1.47027E+11,42.62985829,11166162579,7.133988914,4.917919935,22.39999962,10.861,16.43954659,65.88973236,17.67066574,35.12738449,8009,1486.376337
France,FRA,Europe,6.588401,1.840715697,5.185410609,7216.580317,3850.56329,27.80349869,2.01,160020,2.8625E+12,2.079228327,23.74894735,89,30.36550568,19.8321923,77.81999899,82.11463415,2.256658139,94.0767743,4.2,,119.3266619,0.483283973,65338149,,109.92899,549087,20.60080106,0.787879749,54.80434572,290900,64185339.34,754292,1.111590133,108.929227,12.7,63953875.1,48.60071337,48.22657957,8.4,22749000,35.77893103,40370000,43810.57818,6.4,1.05101E+11,1.59568E+12,1.59568E+12,33.80655668,80012836830,6.54424563,4.266918713,41.09999847,9.3,18.31064987,64.59767151,17.09168053,11.30477323,23171,354.6320236
Gabon,GAB,Africa,105.3978,3.40764469,1.403276216,1041.383057,1365.571876,59.14633219,4.178,220000,17830879880,6.326495719,,72,28.32595735,58.52560107,8,62.69334146,,148.6936289,60.6,43.33333333,6.186339116,2.400682103,1594034,4.3,,267670,,2.808201819,77.97779681,51600,121233.3957,3002,1.134274386,11.02516679,32.487,45186,,,9.446,4500,,22499,11186.00976,,,4598319174,5297667973,,,,,,,38.54729462,56.18682098,5.265947819,68.25587994,13,8.155409483
"Gambia, The",GMB,Africa,114.8464,,0.2430624,,,33.55086981,5.789,4818,904256027.7,-4.328681349,4.241566646,91,47.08840163,,10.8703,58.37480488,,80.76025697,79,64.44444444,171.4393281,3.181314341,1734966,1.3,,11300,,4.446913259,93.91888569,6150,0,0,0.110062763,,43.181,183189,8.577875994,9.315429735,9.962,437,0.025187813,50450,521.195244,1.1,25179,705926865.2,705926867.5,,,1.936341185,0.109698626,,,45.94257355,51.56804276,2.489558935,48.8342887,5,2.881900856
Georgia,GEO,Europe,47.6128,9.281004165,1.769150524,1917.985435,790.5621912,36.24242342,1.822,27397.4,14434619982,7.199999063,1.344284559,94,54.77406893,23.11093626,31.52,73.80978049,3.249262387,101.2829241,15.1,95.55555556,78.43783897,0.683742306,4483350,0.2,,69700,23.83340122,0.961401973,46.24150036,24690,222630,3896,1.358762422,42.34690898,13.713,404700,6.951852802,11.84316883,11.355,248504,5.681096496,1340488,3219.605871,2.91,10871872,10683558790,10706656745,4.597467413,92819087.8,4.923206794,0.296476118,,0.153,17.41201782,68.38007355,14.20795345,31.53766255,84,18.73598983
Germany,DEU,Europe,4.9902,0.80562423,8.917832846,7145.72895,3801.10411,44.80697269,1.36,110760,3.75188E+12,3.589997242,14.96353856,97,39.97399133,30.45531032,81.26999954,80.74146341,1.283020266,109.6595675,4.1,,234.6731495,0.025362128,81797673,0.1,101.7213,357140,11.38787003,0.290185263,52.13237925,167190,107042775.8,1021899.939,0.461279396,118.596041,8.1,41920400,46.73759095,40.24676318,10.4,27257096,32.88230317,51400000,45867.76648,8.2,1.83371E+11,2.09453E+12,2.09453E+12,37.56985332,94087746619,7.949477321,4.602531027,47.59999847,11.489,13.27900314,65.73222351,20.98876762,11.57817863,83639,1022.51075
Ghana,GHA,Africa,60.2352,26.02256161,0.40613603,322.35183,386.2051305,36.88999117,3.985,48246,39566292433,14.04600263,1.652005081,91,49.29652402,26.24244875,9,60.78858537,0.592259762,85.27494343,81.7,62.22222222,109.082825,2.272974825,24820706,1.4,57.09079,238540,14.86579036,3.60689212,73.31398444,159000,491583.0344,10683,0.147799757,4.066113414,31.792,2618992,26.62408958,22.07470207,9.196,65149,0.262478432,284721,1594.084086,0.9,23116796,24313045707,26167397209,,,5.707119943,0.049383416,,,38.76568604,57.69874191,3.535560131,53.4991253,55,2.215891844
Greece,GRC,Europe,11.8198,3.492548644,7.556057769,5380.459765,2404.446809,25.45338936,1.39,39332,2.88785E+11,-8.863679768,9.305958795,99,32.30304994,14.30579082,51.64999517,80.73170732,2.46832881,109.0787779,4.6,,86.29335144,-0.271503978,11123213,,107.85671,131960,21.40582108,0.195350524,50.8900691,81520,9569211.419,125477.1198,2.92314119,73.07235458,9.6,4674845,12.11480501,21.66286228,10,2464282,22.16368744,5744955,25962.36894,,1170865710,2.01646E+11,2.01645E+11,7.69820421,3092271016,4.992134436,2.011563877,49.59999847,,14.55898571,66.27339935,19.16758728,11.12405286,1745,156.879132
Grenada,GRD,North America,36.768,5.210643016,2.408045758,,,25.21408183,2.217,169.9,778518518.5,0.745473908,,95,50.80875357,15.57649667,30,72.47636585,,115.018939,12.5,44.44444444,309.0411765,0.378544535,105074,,,340,19.17221694,0.246015741,52.41666425,110,,,,49.68489269,19.464,354,15.29112953,21.31484197,7.529,14674,,28072,7409.240331,3.5,,699629629.6,699259259.3,15.00699357,23865388.15,,,,,27.21129799,65.60900116,7.178750038,10.03013556,8,76.13681786
Guatemala,GTM,North America,99.2184,11.81879893,0.765486709,543.3622968,741.163648,26.62528436,3.908,36008,47654841113,4.161945918,4.427453037,89,37.35862991,29.33342538,12.3,71.32790244,0.414299268,132.4516485,33.2,85.55555556,137.2394364,2.513214518,14706578,0.6,65.13756,108890,10.83780126,3.405356343,83.89465724,43950,326146.2062,9148,0.724207181,27.35423167,31.784,1752754,19.01011164,9.380783872,5.351,,,1626341,3240.375913,0.6,176575043,40656613661,40656742107,17.27828845,386830654.1,5.991881826,0.323696942,,,41.16143036,54.37895966,4.459609985,66.41740547,204,13.87134383
Guinea,GIN,Africa,135.5924,22.06066424,0.232605745,,,30.25425227,5.088,65080,5067360041,3.90876145,,62,48.12222138,44.84192486,1.3,55.59019512,,43.54770359,108.1,58.88888889,45.42377503,2.591148336,11161530,1.7,38.07395,245860,,3.848412356,84.49445609,142400,,,0.267628971,0.890486251,37.763,2947000,78.8213628,31.43326473,11.829,600,,18000,454.0022776,0.3,,4546141014,4546141014,49.28922202,38140000,,,,,42.65125656,54.20216751,3.146566868,76.32152139,5,0.447967259
Guinea-Bissau,GNB,Africa,104.1534,46.42271261,0.151265093,,,26.79935327,5.052,20120,1103652041,9.028655594,,69,30.84005407,13.24354478,2.672,53.79609756,1.587438745,45.10659833,131.7,48.88888889,57.76059744,2.342413752,1624228,3.9,,36130,,4.226426929,80.69645144,16300,,,0.930928027,1.373443494,38.223,218170,66.04735493,20.83802025,12.873,1000,,5000,679.4932985,,,944193533.3,944193533.3,64.3200243,28718316.49,,,,,41.72455978,55.34143066,2.934009314,88.63360596,1,0.615677109
Guyana,GUY,South America,90.98701,18.64518765,2.253385461,,,,2.638,152050,2576602497,5.437126058,0.126600671,98,,36.44035748,31,65.88007317,1.258122936,66.85662336,38.7,58.88888889,4.017688595,0.603169346,790882,1.3,105.40804,214970,,0.716366308,68.10909392,16770,340267.6232,12231,0.361662464,15.11581742,21.14,623200,51.00055633,34.00017706,6.877,20540,2.597100452,152299,3257.884864,,109036,2338171971,,34.4416418,102497742,3.624847272,0.278467901,,,37.26383972,59.48510742,3.250927448,36.10845568,7,8.850877881
Haiti,HTI,North America,42.8514,,0.220395791,31.49648994,391.6938374,13.43650736,3.28,1002,7516829496,5.523737754,,65,54.16636399,,9,62.30597561,,41.86242333,77,42.22222222,364.0371553,1.369504994,10032864,2.1,,27750,,4.100269541,67.35243242,17700,,,0.001186141,,26.376,640063,6.317672747,6.326277467,8.8,,,50000,749.2207107,,,,,,,,,,,35.75622177,59.75412369,4.489635468,79.00565049,12,1.196069238
Honduras,HND,North America,85.79099,15.29918642,1.081709663,679.9826507,612.9461084,51.25765608,3.101,50720,17710325578,3.835560728,1.632108456,95,70.95917356,27.77398472,15.9,73.17319512,1.131308428,103.6720092,23.9,75.55555556,69.50280633,2.019373494,7776669,0.5,73.78307,112490,14.78796996,3.211544313,68.31631052,32200,423655.3256,18287,0.647467109,23.0728759,26.487,635539,66.76223366,10.54032659,4.841,57290,0.736690735,614281,2277.366515,0.7,11395287,13749803088,13749797802,10.91206825,245952868.8,4.792791097,0.204277949,,,36.24258804,59.41194153,4.345459461,53.91320381,60,7.715385598
Hungary,HUN,Europe,13.6162,4.650365848,4.862989931,3895.212936,2504.334706,87.53357629,1.26,20382,1.3944E+11,1.806605435,22.73168037,99,81.37279881,30.08847102,68.01998789,74.85853659,1.055704161,116.9434928,6.4,86.66666667,110.1483155,-0.283360436,9971727,,100.77067,93030,21.08448026,0.424270889,45.98399754,53370,13729553.53,120826.2124,0.888287981,57.62711413,8.8,13678147,50.10338813,61.40523148,12.9,2313092,23.13965059,2933313,13983.49764,7.2,20649002000,73295451493,73295451493,28.94443664,6466398978,17.47813409,21.57829452,49.09999847,6.388,14.60768127,68.5006485,16.8916626,9.642452906,2193,219.9217849
Iceland,ISL,Europe,12.0504,7.540391861,5.896828979,52373.87701,17964.44357,56.35830293,2.02,308,14688160822,2.40098108,20.85931678,94,48.26964843,24.01549735,94.8196868,82.35853659,0.132753937,106.8414418,2.3,,3.182184539,0.305468368,319014,,108.55373,103000,21.25383961,0.422931386,49.53337614,15910,2150527,24488,0.096527685,75.98731062,14.1,,-262.9574604,-1047.681911,6.2,111584,34.64782085,191118,46042.37062,,156242917,7580161098,7580161098,,,4.367727239,0.067730444,25.20000076,,20.79539871,66.87522888,12.33030701,77.267506,965,3024.945614
India,IND,Asia,36.3526,18.3707112,1.698672693,713.4696733,615.661626,24.27454939,2.532,685790,1.83581E+12,6.63834773,6.8707993,74,30.74672165,33.1090504,10.07,65.9584878,2.622771642,73.19803895,57.5,76.66666667,410.7225973,1.280039961,1221156319,0.3,68.50978,3287260,8.979517267,2.392484131,53.67472797,1797990,73996912,695626,0.563457124,8.951387223,20.999,287860000,67.92565343,30.66232249,7.949,13351187,1.093323336,32835261,1503.341072,0.7,12870672544,1.05817E+12,1.03464E+12,61.83745354,85662135486,5.973562352,2.182670486,,1.711,29.79535484,65.07250977,5.132137775,39.85413004,3545,2.902986247
Indonesia,IDN,Asia,48.9634,13.78659697,2.313292898,683.9330559,842.2195308,26.32735309,2.403,937470,8.92969E+11,6.169784208,8.330497385,80,23.8526601,44.80489993,12.28,70.39156098,0.653776703,102.4626496,31.8,83.33333333,134.5803027,1.290129396,243801639,0.4,81.16273,1910930,,2.85620156,53.03737388,545000,70912258.11,599692.2761,0.581287412,24.54386936,19.633,83400154,44.04575053,34.36763984,6.289,2736379,1.122379247,38617480,3662.687044,,5727738147,4.94913E+11,4.9544E+11,34.01970474,7446285489,7.405550286,3.855039357,,,29.5938549,65.34351349,5.062628746,38.45079923,820,3.363390022
"Iran, Islamic Rep.",IRN,Asia,31.5992,,7.777322503,2653.442456,2816.106126,,1.912,110750,5.76566E+11,3.946149772,4.116372114,99,,,19,73.44931707,2.476324621,74.30366228,18.3,68.88888889,46.31376685,1.283616033,75424285,0.1,83.79658,1745150,,2.093062941,40.46334666,489570,19113946.16,161191.6776,2.195806244,35.79294759,19.112,20695843,,,5.248,2119708,,27766931,7644.305231,,652571090,,,,,4.595480543,0.011378289,,,23.60882759,71.19294739,5.19822216,0.911569389,76,1.007633019
Iraq,IRQ,Asia,69.75401,,4.208272413,1342.820313,1257.217565,44.41752304,4.147,8250,1.8575E+11,10.21408931,,77,27.75380518,,5,69.01578049,3.178756616,80.15512761,35.8,46.66666667,73.12585191,2.543534695,31760020,,,435240,,2.636203337,79.2790008,82100,761778.1744,9697,10.1543823,2.08848181,31.905,4270151,5.836035201,5.924563017,5.367,,,1794000,5848.537389,,,,94460584359,4.358610914,123000000,,,,,40.90175247,55.77898026,3.319265366,1.323947914,4,0.125944505
Ireland,IRL,Europe,9.889601,1.554242316,7.880759326,5661.168058,2887.251644,97.68694645,2.03,7478,2.37757E+11,2.772706339,21.70761977,92,77.40658305,27.50672493,74.88997297,80.74634146,0.546882262,108.479355,4.1,,66.43626071,0.364213884,4576794,,117.75919,70280,21.12064676,0.801495736,49.20147376,45550,89956333.51,635065,0.409948199,88.8062047,16.2,2511812,70.42157361,79.33511224,6.2,1070776,23.67483822,2046567,51948.34654,2.9,23751602369,1.09118E+11,1.11416E+11,64.91037945,67601705447,9.333568973,5.776495152,58.59999847,,21.46512222,67.02346802,11.51142979,7.087413904,5180,1131.796624
Israel,ISR,Asia,9.0472,,8.952413531,6930.000773,2982.622396,35.46123913,2.98,1538,2.58408E+11,4.190876897,13.9800325,97,35.9518201,,68.87387799,81.65609756,5.990893294,121.9782701,4.3,,358.8632163,1.848077862,7765800,,101.69799,22070,23.03220048,1.915582347,60.86002872,5205,5151469,47195,5.698066393,111.1010382,21.4,253715,64.16401088,46.579539,5.3,1879029,,3500000,33275.15681,3.37,8825592000,1.49021E+11,1.49021E+11,56.43417194,15453200000,8.725049423,10.68980904,18.70000076,4.932,27.34117699,62.16585541,10.49298191,9.021751593,3651,470.1382987
Italy,ITA,Europe,4.5184,2.098226677,6.702557614,5514.837297,2819.717189,26.98336823,1.44,92270,2.27809E+12,0.586820837,7.366202698,90,28.55232728,24.18670971,54.3899983,82.18780488,1.673666158,158.145883,3.9,,201.8747841,0.171978291,59379449,0.3,100.65865,301340,21.63202373,0.343066345,52.83896362,139326,33923370.51,328771.58,1.497068609,99.33593402,9.2,19521138.4,39.48266081,42.33906801,10,13518710,22.26059981,22105471,38364.94175,3.4,31191607345,1.40199E+12,1.40199E+12,31.2108426,34515045253,6.207051328,2.104651719,51.29999924,,14.0405817,65.42834473,20.53107834,11.10023485,11599,195.3369422
Jamaica,JAM,North America,71.50801,6.601649878,2.872655693,1261.186782,1063.147863,30.39154163,2.309,3366.8,14433926129,1.703150085,0.639070214,88,53.49356249,21.16644268,37.43861341,73.07639024,0.925864236,106.9237357,17.8,81.11111111,249.2925208,0.33443048,2699838,1.8,88.60408,10990,25.70472281,0.681772348,57.00395441,4490,0,0,0.232145699,28.1920207,14.69,2957.7,9.505714359,36.37338088,6.27,118269,4.293401494,270068,5346.219339,,4075020,12395913497,12395925139,7.814336666,204752326,2.872995008,0.735611735,,,28.4419651,63.69269943,7.865409374,13.87526503,131,48.5214298
Japan,JPN,Asia,5.354601,1.156953985,9.291834303,7841.303019,3614.187775,15.1275549,1.39,249878,5.90563E+12,-0.45272483,17.45941084,94,16.0343875,26.14259255,79.05411352,82.59121951,1.023639794,104.2742326,3.4,,350.6117787,-0.197526884,127817277,,101.7654,377955,9.75579172,0.601289465,58.39613372,45610,89788818,812928,0.396655549,128.4359792,8.3,11450424,59.00703896,50.04295671,9.9,35696214,28.03678653,64668524,46203.70952,,1.26478E+11,3.56165E+12,3.56165E+12,28.09495278,38588091031,10.13859864,9.228328437,39.40000153,,13.19866371,63.13285446,23.66848183,4.626105474,95087,743.9291638
Jordan,JOR,Asia,27.0654,3.326073337,3.601147064,2289.435366,1142.90309,47.65491437,3.386,975,28840263380,2.560808799,2.513028256,98,73.85898832,31.10069676,34.9,73.59187805,4.803534886,111.1631725,19.9,74.44444444,69.62153638,2.208317432,6181000,,89.05884,89320,14.95464063,2.512180248,61.37477922,10026,3267109.736,40329.1978,6.522914615,29.60654905,28.317,83042,10.43594903,7.293182039,3.706,296612,4.406556917,465388,4665.954276,,115604075,22459194225,22459194085,,,4.091323578,1.471553562,41.70000076,,34.58947754,61.96755981,3.44297719,3.021443868,156,25.23863453
Kazakhstan,KAZ,Asia,29.5674,5.472569847,15.81009754,4892.912796,4670.990783,47.59577481,2.59,33034,1.88049E+11,7.500000001,24.67344787,99,27.30176558,40.87934123,50.6,68.98,0.959310405,156.7946524,19.6,92.22222222,6.132755491,1.429659402,16556600,,,2724900,,1.148240074,46.49073375,2091150,3786453.064,40916,0.791416154,65.45022826,22.52,26825600,13.2569748,60.91294971,8.75,1193400,7.413344193,4265800,11357.94549,,2587709497,80424215391,87503552020,11.36048509,492788296.3,5.742580134,0.142425714,,,25.16856384,68.26371002,6.567736149,1.381899775,105,6.341881787
Kenya,KEN,Africa,94.93121,29.2738701,0.322830855,155.0161059,482.5154324,21.62597244,4.538,34560,41953433591,6.11161346,,87,38.82270088,21.04115417,28,60.37090244,1.541418786,66.8146089,75.8,61.11111111,73.8445567,2.697863935,42027891,6.1,,580370,15.94768599,4.363942901,82.16767975,274500,4508698.012,84955,0.180211088,9.121653563,36.104,4058581,13.96767995,26.86818171,8.789,54144,0.128828734,283546,998.228381,,,33060765132,34209645674,,,,,,0.792,42.48284149,54.89447784,2.622677326,77.12050515,132,3.140771446
